datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-07-17,30035,0.0,20 days,0.0
2020-07-18,30035,0.0,20 days,0.0
2020-07-19,30035,0.0,20 days,0.0
2020-07-20,30035,0.0,20 days,0.0
2020-07-21,30035,0.0,20 days,0.0
2020-07-22,30035,0.0,20 days,0.0
2020-07-23,30035,0.0,20 days,0.0
2020-07-24,30035,0.0,20 days,0.0
2020-07-25,30035,0.0,20 days,0.0
2020-07-26,30035,0.0,20 days,0.0
2020-07-27,30035,0.0,20 days,0.0
2020-07-28,30035,0.0,20 days,0.0
2020-07-29,30035,0.0,20 days,0.0
2020-07-30,30035,0.0,20 days,0.0
2020-07-31,30035,0.0,20 days,0.0
2020-08-01,30035,0.0,20 days,0.0
2020-08-02,30035,0.0,20 days,0.0
2020-08-03,30035,0.0,20 days,0.0
2020-08-04,30035,0.0,20 days,0.0
2020-08-05,30035,3.6355704209990543,20 days,0.0
2020-08-06,30035,3.6355704209990543,20 days,0.0
2020-08-07,30035,7.2711408419981085,20 days,0.0
2020-08-08,30035,7.2711408419981085,20 days,0.0
2020-08-09,30035,7.2711408419981085,20 days,0.0
2020-08-10,30035,10.906711262997163,20 days,0.0
2020-08-11,30035,10.906711262997163,20 days,0.0
2020-08-12,30035,10.906711262997163,20 days,0.0
2020-08-13,30035,10.906711262997163,20 days,0.0
2020-08-14,30035,10.906711262997163,20 days,0.0
2020-08-15,30035,10.906711262997163,20 days,0.0
2020-08-16,30035,10.906711262997163,20 days,0.0
2020-08-17,30035,10.906711262997163,20 days,0.0
2020-08-18,30035,14.542281683996219,20 days,0.0
2020-08-19,30035,14.542281683996219,20 days,0.0
2020-08-20,30035,14.542281683996219,20 days,0.0
2020-08-21,30035,14.542281683996219,20 days,0.0
2020-08-22,30035,14.542281683996219,20 days,0.0
2020-08-23,30035,14.542281683996219,20 days,0.0
2020-08-24,30035,14.542281683996219,20 days,0.0
2020-08-25,30035,18.177852104995274,20 days,0.0
2020-08-26,30035,18.177852104995274,20 days,0.0
2020-08-27,30035,14.542281683996219,20 days,0.0
2020-08-28,30035,14.542281683996219,20 days,0.0
2020-08-29,30035,10.906711262997163,20 days,0.0
2020-08-30,30035,7.2711408419981085,20 days,0.0
2020-08-31,30035,3.6355704209990543,20 days,0.0
2020-09-01,30035,3.6355704209990543,20 days,0.0
2020-09-02,30035,3.6355704209990543,20 days,0.0
2020-09-03,30035,3.6355704209990543,20 days,0.0
2020-09-04,30035,3.6355704209990543,20 days,0.0
2020-09-05,30035,7.271140841998109,20 days,0.0
2020-09-06,30035,7.271140841998109,20 days,0.0
2020-09-07,30035,3.6355704209990543,20 days,0.0
2020-09-08,30035,10.906711262997163,20 days,0.0
2020-09-09,30035,10.906711262997163,20 days,0.0
2020-09-10,30035,10.906711262997163,20 days,0.0
2020-09-11,30035,7.2711408419981085,20 days,0.0
2020-09-12,30035,7.2711408419981085,20 days,0.0
2020-09-13,30035,10.906711262997163,20 days,0.0
2020-09-14,30035,7.2711408419981085,20 days,0.0
2020-09-15,30035,7.2711408419981085,20 days,0.0
2020-09-16,30035,7.2711408419981085,20 days,0.0
2020-09-17,30035,7.2711408419981085,20 days,0.0
2020-09-18,30035,10.906711262997163,20 days,0.0
2020-09-19,30035,10.906711262997163,20 days,0.0
2020-09-20,30035,14.542281683996219,20 days,0.0
2020-09-21,30035,14.542281683996219,20 days,0.0
2020-02-10,30037,0.0,20 days,0.0
2020-02-11,30037,0.0,20 days,0.0
2020-02-12,30037,0.0,20 days,0.0
2020-02-13,30037,0.0,20 days,0.0
2020-02-14,30037,0.0,20 days,0.0
2020-02-15,30037,0.0,20 days,0.0
2020-02-16,30037,0.0,20 days,0.0
2020-02-17,30037,0.0,20 days,0.0
2020-02-18,30037,0.0,20 days,0.0
2020-02-19,30037,0.0,20 days,0.0
2020-02-20,30037,0.0,20 days,0.0
2020-02-21,30037,0.0,20 days,0.0
2020-02-22,30037,0.0,20 days,0.0
2020-02-23,30037,0.0,20 days,0.0
2020-02-24,30037,0.0,20 days,0.0
2020-02-25,30037,0.0,20 days,0.0
2020-02-26,30037,0.0,20 days,0.0
2020-02-27,30037,0.0,20 days,0.0
2020-02-28,30037,0.0,20 days,0.0
2020-02-29,30037,0.0,20 days,0.0
2020-03-01,30037,0.0,20 days,0.0
2020-03-02,30037,0.0,20 days,0.0
2020-03-03,30037,0.0,20 days,0.0
2020-03-04,30037,0.0,20 days,0.0
2020-03-05,30037,0.0,20 days,0.0
2020-03-06,30037,0.0,20 days,0.0
2020-03-07,30037,0.0,20 days,0.0
2020-03-08,30037,0.0,20 days,0.0
2020-03-09,30037,0.0,20 days,0.0
2020-03-10,30037,0.0,20 days,0.0
2020-03-11,30037,0.0,20 days,0.0
2020-03-12,30037,0.0,20 days,0.0
2020-03-13,30037,0.0,20 days,0.0
2020-03-14,30037,0.0,20 days,0.0
2020-03-15,30037,0.0,20 days,0.0
2020-03-16,30037,0.0,20 days,0.0
2020-03-17,30037,0.0,20 days,0.0
2020-03-18,30037,0.0,20 days,0.0
2020-03-19,30037,0.0,20 days,0.0
2020-03-20,30037,0.0,20 days,0.0
2020-03-21,30037,0.0,20 days,0.0
2020-03-22,30037,0.0,20 days,0.0
2020-03-23,30037,0.0,20 days,0.0
2020-03-24,30037,0.0,20 days,0.0
2020-03-25,30037,0.0,20 days,0.0
2020-03-26,30037,0.0,20 days,0.0
2020-03-27,30037,0.0,20 days,0.0
2020-03-28,30037,0.0,20 days,0.0
2020-03-29,30037,0.0,20 days,0.0
2020-03-30,30037,0.0,20 days,0.0
2020-03-31,30037,0.0,20 days,0.0
2020-04-01,30037,0.0,20 days,0.0
2020-04-02,30037,0.0,20 days,0.0
2020-04-03,30037,0.0,20 days,0.0
2020-04-04,30037,0.0,20 days,0.0
2020-04-05,30037,0.0,20 days,0.0
2020-04-06,30037,0.0,20 days,0.0
2020-04-07,30037,0.0,20 days,0.0
2020-04-08,30037,0.0,20 days,0.0
2020-04-09,30037,0.0,20 days,0.0
2020-04-10,30037,0.0,20 days,0.0
2020-04-11,30037,0.0,20 days,0.0
2020-04-12,30037,0.0,20 days,0.0
2020-04-13,30037,0.0,20 days,0.0
2020-04-14,30037,0.0,20 days,0.0
2020-04-15,30037,0.0,20 days,0.0
2020-04-16,30037,0.0,20 days,0.0
2020-04-17,30037,0.0,20 days,0.0
2020-04-18,30037,0.0,20 days,0.0
2020-04-19,30037,0.0,20 days,0.0
2020-04-20,30037,0.0,20 days,0.0
2020-04-21,30037,0.0,20 days,0.0
2020-04-22,30037,0.0,20 days,0.0
2020-04-23,30037,0.0,20 days,0.0
2020-04-24,30037,0.0,20 days,0.0
2020-04-25,30037,0.0,20 days,0.0
2020-04-26,30037,0.0,20 days,0.0
2020-04-27,30037,0.0,20 days,0.0
2020-04-28,30037,0.0,20 days,0.0
2020-04-29,30037,0.0,20 days,0.0
2020-04-30,30037,0.0,20 days,0.0
2020-05-01,30037,0.0,20 days,0.0
2020-05-02,30037,0.0,20 days,0.0
2020-05-03,30037,0.0,20 days,0.0
2020-05-04,30037,0.0,20 days,0.0
2020-05-05,30037,0.0,20 days,0.0
2020-05-06,30037,0.0,20 days,0.0
2020-05-07,30037,0.0,20 days,0.0
2020-05-08,30037,0.0,20 days,0.0
2020-05-09,30037,0.0,20 days,0.0
2020-05-10,30037,0.0,20 days,0.0
2020-05-11,30037,0.0,20 days,0.0
2020-05-12,30037,0.0,20 days,0.0
2020-05-13,30037,0.0,20 days,0.0
2020-05-14,30037,0.0,20 days,0.0
2020-05-15,30037,0.0,20 days,0.0
2020-05-16,30037,0.0,20 days,0.0
2020-05-17,30037,0.0,20 days,0.0
2020-05-18,30037,0.0,20 days,0.0
2020-05-19,30037,0.0,20 days,0.0
2020-05-20,30037,0.0,20 days,0.0
2020-05-21,30037,0.0,20 days,0.0
2020-05-22,30037,0.0,20 days,0.0
2020-05-23,30037,0.0,20 days,0.0
2020-05-24,30037,0.0,20 days,0.0
2020-05-25,30037,0.0,20 days,0.0
2020-05-26,30037,0.0,20 days,0.0
2020-05-27,30037,0.0,20 days,0.0
2020-05-28,30037,0.0,20 days,0.0
2020-05-29,30037,0.0,20 days,0.0
2020-05-30,30037,0.0,20 days,0.0
2020-05-31,30037,0.0,20 days,0.0
2020-06-01,30037,0.0,20 days,0.0
2020-06-02,30037,0.0,20 days,0.0
2020-06-03,30037,0.0,20 days,0.0
2020-06-04,30037,0.0,20 days,0.0
2020-06-05,30037,0.0,20 days,0.0
2020-06-06,30037,0.0,20 days,0.0
2020-06-07,30037,0.0,20 days,0.0
2020-06-08,30037,0.0,20 days,0.0
2020-06-09,30037,0.0,20 days,0.0
2020-06-10,30037,0.0,20 days,0.0
2020-06-11,30037,0.0,20 days,0.0
2020-06-12,30037,0.0,20 days,0.0
2020-06-13,30037,0.0,20 days,0.0
2020-06-14,30037,0.0,20 days,0.0
2020-06-15,30037,0.0,20 days,0.0
2020-06-16,30037,0.0,20 days,0.0
2020-06-17,30037,0.0,20 days,0.0
2020-06-18,30037,0.0,20 days,0.0
2020-06-19,30037,0.0,20 days,0.0
2020-06-20,30037,0.0,20 days,0.0
2020-06-21,30037,0.0,20 days,0.0
2020-06-22,30037,0.0,20 days,0.0
2020-06-23,30037,0.0,20 days,0.0
2020-06-24,30037,0.0,20 days,0.0
2020-06-25,30037,0.0,20 days,0.0
2020-06-26,30037,0.0,20 days,0.0
2020-06-27,30037,0.0,20 days,0.0
2020-06-28,30037,0.0,20 days,0.0
2020-06-29,30037,0.0,20 days,0.0
2020-06-30,30037,0.0,20 days,0.0
2020-07-01,30037,0.0,20 days,0.0
2020-07-02,30037,0.0,20 days,0.0
2020-07-03,30037,0.0,20 days,0.0
2020-07-04,30037,0.0,20 days,0.0
2020-07-05,30037,0.0,20 days,0.0
2020-07-06,30037,0.0,20 days,0.0
2020-07-07,30037,0.0,20 days,0.0
2020-07-08,30037,0.0,20 days,0.0
2020-07-09,30037,0.0,20 days,0.0
2020-07-10,30037,0.0,20 days,0.0
2020-07-11,30037,0.0,20 days,0.0
2020-07-12,30037,0.0,20 days,0.0
2020-07-13,30037,0.0,20 days,0.0
2020-07-14,30037,0.0,20 days,0.0
2020-07-15,30037,0.0,20 days,0.0
2020-07-16,30037,0.0,20 days,0.0
2020-07-17,30037,0.0,20 days,0.0
2020-07-18,30037,0.0,20 days,0.0
2020-07-19,30037,0.0,20 days,0.0
2020-07-20,30037,0.0,20 days,0.0
2020-07-21,30037,0.0,20 days,0.0
2020-07-22,30037,0.0,20 days,0.0
2020-07-23,30037,0.0,20 days,0.0
2020-07-24,30037,0.0,20 days,0.0
2020-07-25,30037,0.0,20 days,0.0
2020-07-26,30037,0.0,20 days,0.0
2020-07-27,30037,0.0,20 days,0.0
2020-07-28,30037,0.0,20 days,0.0
2020-07-29,30037,0.0,20 days,0.0
2020-07-30,30037,0.0,20 days,0.0
2020-07-31,30037,0.0,20 days,0.0
2020-08-01,30037,0.0,20 days,0.0
2020-08-02,30037,0.0,20 days,0.0
2020-08-03,30037,0.0,20 days,0.0
2020-08-04,30037,0.0,20 days,0.0
2020-08-05,30037,0.0,20 days,0.0
2020-08-06,30037,0.0,20 days,0.0
2020-08-07,30037,0.0,20 days,0.0
2020-08-08,30037,0.0,20 days,0.0
2020-08-09,30037,0.0,20 days,0.0
2020-08-10,30037,0.0,20 days,0.0
2020-08-11,30037,0.0,20 days,0.0
2020-08-12,30037,0.0,20 days,0.0
2020-08-13,30037,0.0,20 days,0.0
2020-08-14,30037,0.0,20 days,0.0
2020-08-15,30037,0.0,20 days,0.0
2020-08-16,30037,0.0,20 days,0.0
2020-08-17,30037,0.0,20 days,0.0
2020-08-18,30037,0.0,20 days,0.0
2020-08-19,30037,0.0,20 days,0.0
2020-08-20,30037,0.0,20 days,0.0
2020-08-21,30037,0.0,20 days,0.0
2020-08-22,30037,0.0,20 days,0.0
2020-08-23,30037,0.0,20 days,0.0
2020-08-24,30037,0.0,20 days,0.0
2020-08-25,30037,0.0,20 days,0.0
2020-08-26,30037,0.0,20 days,0.0
2020-08-27,30037,0.0,20 days,0.0
2020-08-28,30037,0.0,20 days,0.0
2020-08-29,30037,0.0,20 days,0.0
2020-08-30,30037,0.0,20 days,0.0
2020-08-31,30037,0.0,20 days,0.0
2020-09-01,30037,0.0,20 days,0.0
2020-09-02,30037,0.0,20 days,0.0
2020-09-03,30037,0.0,20 days,0.0
2020-09-04,30037,0.0,20 days,0.0
2020-09-05,30037,0.0,20 days,0.0
2020-09-06,30037,0.0,20 days,0.0
2020-09-07,30037,0.0,20 days,0.0
2020-09-08,30037,0.0,20 days,0.0
2020-09-09,30037,0.0,20 days,0.0
2020-09-10,30037,0.0,20 days,0.0
2020-09-11,30037,0.0,20 days,0.0
2020-09-12,30037,0.0,20 days,0.0
2020-09-13,30037,0.0,20 days,0.0
2020-09-14,30037,0.0,20 days,0.0
2020-09-15,30037,0.0,20 days,0.0
2020-09-16,30037,0.0,20 days,0.0
2020-09-17,30037,0.0,20 days,0.0
2020-09-18,30037,0.0,20 days,0.0
2020-09-19,30037,0.0,20 days,0.0
2020-09-20,30037,0.0,20 days,0.0
2020-09-21,30037,0.0,20 days,0.0
2020-02-10,30039,0.0,20 days,0.0
2020-02-11,30039,0.0,20 days,0.0
2020-02-12,30039,0.0,20 days,0.0
2020-02-13,30039,0.0,20 days,0.0
2020-02-14,30039,0.0,20 days,0.0
2020-02-15,30039,0.0,20 days,0.0
2020-02-16,30039,0.0,20 days,0.0
2020-02-17,30039,0.0,20 days,0.0
2020-02-18,30039,0.0,20 days,0.0
2020-02-19,30039,0.0,20 days,0.0
2020-02-20,30039,0.0,20 days,0.0
2020-02-21,30039,0.0,20 days,0.0
2020-02-22,30039,0.0,20 days,0.0
2020-02-23,30039,0.0,20 days,0.0
2020-02-24,30039,0.0,20 days,0.0
2020-02-25,30039,0.0,20 days,0.0
2020-02-26,30039,0.0,20 days,0.0
2020-02-27,30039,0.0,20 days,0.0
2020-02-28,30039,0.0,20 days,0.0
2020-02-29,30039,0.0,20 days,0.0
2020-03-01,30039,0.0,20 days,0.0
2020-03-02,30039,0.0,20 days,0.0
2020-03-03,30039,0.0,20 days,0.0
2020-03-04,30039,0.0,20 days,0.0
2020-03-05,30039,0.0,20 days,0.0
2020-03-06,30039,0.0,20 days,0.0
2020-03-07,30039,0.0,20 days,0.0
2020-03-08,30039,0.0,20 days,0.0
2020-03-09,30039,0.0,20 days,0.0
2020-03-10,30039,0.0,20 days,0.0
2020-03-11,30039,0.0,20 days,0.0
2020-03-12,30039,0.0,20 days,0.0
2020-03-13,30039,0.0,20 days,0.0
2020-03-14,30039,0.0,20 days,0.0
2020-03-15,30039,0.0,20 days,0.0
2020-03-16,30039,0.0,20 days,0.0
2020-03-17,30039,0.0,20 days,0.0
2020-03-18,30039,0.0,20 days,0.0
2020-03-19,30039,0.0,20 days,0.0
2020-03-20,30039,0.0,20 days,0.0
2020-03-21,30039,0.0,20 days,0.0
2020-03-22,30039,0.0,20 days,0.0
2020-03-23,30039,0.0,20 days,0.0
2020-03-24,30039,0.0,20 days,0.0
2020-03-25,30039,0.0,20 days,0.0
2020-03-26,30039,0.0,20 days,0.0
2020-03-27,30039,0.0,20 days,0.0
2020-03-28,30039,0.0,20 days,0.0
2020-03-29,30039,0.0,20 days,0.0
2020-03-30,30039,0.0,20 days,0.0
2020-03-31,30039,0.0,20 days,0.0
2020-04-01,30039,0.0,20 days,0.0
2020-04-02,30039,0.0,20 days,0.0
2020-04-03,30039,0.0,20 days,0.0
2020-04-04,30039,0.0,20 days,0.0
2020-04-05,30039,0.0,20 days,0.0
2020-04-06,30039,0.0,20 days,0.0
2020-04-07,30039,0.0,20 days,0.0
2020-04-08,30039,0.0,20 days,0.0
2020-04-09,30039,0.0,20 days,0.0
2020-04-10,30039,0.0,20 days,0.0
2020-04-11,30039,0.0,20 days,0.0
2020-04-12,30039,0.0,20 days,0.0
2020-04-13,30039,0.0,20 days,0.0
2020-04-14,30039,0.0,20 days,0.0
2020-04-15,30039,0.0,20 days,0.0
2020-04-16,30039,0.0,20 days,0.0
2020-04-17,30039,0.0,20 days,0.0
2020-04-18,30039,0.0,20 days,0.0
2020-04-19,30039,0.0,20 days,0.0
2020-04-20,30039,0.0,20 days,0.0
2020-04-21,30039,0.0,20 days,0.0
2020-04-22,30039,0.0,20 days,0.0
2020-04-23,30039,0.0,20 days,0.0
2020-04-24,30039,0.0,20 days,0.0
2020-04-25,30039,0.0,20 days,0.0
2020-04-26,30039,0.0,20 days,0.0
2020-04-27,30039,0.0,20 days,0.0
2020-04-28,30039,0.0,20 days,0.0
2020-04-29,30039,0.0,20 days,0.0
2020-04-30,30039,0.0,20 days,0.0
2020-05-01,30039,0.0,20 days,0.0
2020-05-02,30039,0.0,20 days,0.0
2020-05-03,30039,0.0,20 days,0.0
2020-05-04,30039,0.0,20 days,0.0
2020-05-05,30039,0.0,20 days,0.0
2020-05-06,30039,0.0,20 days,0.0
2020-05-07,30039,0.0,20 days,0.0
2020-05-08,30039,0.0,20 days,0.0
2020-05-09,30039,0.0,20 days,0.0
2020-05-10,30039,0.0,20 days,0.0
2020-05-11,30039,0.0,20 days,0.0
2020-05-12,30039,0.0,20 days,0.0
2020-05-13,30039,0.0,20 days,0.0
2020-05-14,30039,0.0,20 days,0.0
2020-05-15,30039,0.0,20 days,0.0
2020-05-16,30039,0.0,20 days,0.0
2020-05-17,30039,0.0,20 days,0.0
2020-05-18,30039,0.0,20 days,0.0
2020-05-19,30039,0.0,20 days,0.0
2020-05-20,30039,0.0,20 days,0.0
2020-05-21,30039,0.0,20 days,0.0
2020-05-22,30039,0.0,20 days,0.0
2020-05-23,30039,0.0,20 days,0.0
2020-05-24,30039,0.0,20 days,0.0
2020-05-25,30039,0.0,20 days,0.0
2020-05-26,30039,0.0,20 days,0.0
2020-05-27,30039,0.0,20 days,0.0
2020-05-28,30039,0.0,20 days,0.0
2020-05-29,30039,0.0,20 days,0.0
2020-05-30,30039,0.0,20 days,0.0
2020-05-31,30039,0.0,20 days,0.0
2020-06-01,30039,0.0,20 days,0.0
2020-06-02,30039,0.0,20 days,0.0
2020-06-03,30039,0.0,20 days,0.0
2020-06-04,30039,0.0,20 days,0.0
2020-06-05,30039,0.0,20 days,0.0
2020-06-06,30039,0.0,20 days,0.0
2020-06-07,30039,0.0,20 days,0.0
2020-06-08,30039,0.0,20 days,0.0
2020-06-09,30039,0.0,20 days,0.0
2020-06-10,30039,0.0,20 days,0.0
2020-06-11,30039,0.0,20 days,0.0
2020-06-12,30039,0.0,20 days,0.0
2020-06-13,30039,0.0,20 days,0.0
2020-06-14,30039,0.0,20 days,0.0
2020-06-15,30039,0.0,20 days,0.0
2020-06-16,30039,0.0,20 days,0.0
2020-06-17,30039,0.0,20 days,0.0
2020-06-18,30039,0.0,20 days,0.0
2020-06-19,30039,0.0,20 days,0.0
2020-06-20,30039,0.0,20 days,0.0
2020-06-21,30039,0.0,20 days,0.0
2020-06-22,30039,0.0,20 days,0.0
2020-06-23,30039,0.0,20 days,0.0
2020-06-24,30039,0.0,20 days,0.0
2020-06-25,30039,0.0,20 days,0.0
2020-06-26,30039,0.0,20 days,0.0
2020-06-27,30039,0.0,20 days,0.0
2020-06-28,30039,0.0,20 days,0.0
2020-06-29,30039,0.0,20 days,0.0
2020-06-30,30039,0.0,20 days,0.0
2020-07-01,30039,0.0,20 days,0.0
2020-07-02,30039,0.0,20 days,0.0
2020-07-03,30039,0.0,20 days,0.0
2020-07-04,30039,0.0,20 days,0.0
2020-07-05,30039,0.0,20 days,0.0
2020-07-06,30039,0.0,20 days,0.0
2020-07-07,30039,0.0,20 days,0.0
2020-07-08,30039,0.0,20 days,0.0
2020-07-09,30039,0.0,20 days,0.0
2020-07-10,30039,0.0,20 days,0.0
2020-07-11,30039,0.0,20 days,0.0
2020-07-12,30039,0.0,20 days,0.0
2020-07-13,30039,0.0,20 days,0.0
2020-07-14,30039,0.0,20 days,0.0
2020-07-15,30039,0.0,20 days,0.0
2020-07-16,30039,0.0,20 days,0.0
2020-07-17,30039,0.0,20 days,0.0
2020-07-18,30039,0.0,20 days,0.0
2020-07-19,30039,0.0,20 days,0.0
2020-07-20,30039,0.0,20 days,0.0
2020-07-21,30039,0.0,20 days,0.0
2020-07-22,30039,0.0,20 days,0.0
2020-07-23,30039,0.0,20 days,0.0
2020-07-24,30039,0.0,20 days,0.0
2020-07-25,30039,0.0,20 days,0.0
2020-07-26,30039,0.0,20 days,0.0
2020-07-27,30039,0.0,20 days,0.0
2020-07-28,30039,0.0,20 days,0.0
2020-07-29,30039,0.0,20 days,0.0
2020-07-30,30039,0.0,20 days,0.0
2020-07-31,30039,0.0,20 days,0.0
2020-08-01,30039,0.0,20 days,0.0
2020-08-02,30039,0.0,20 days,0.0
2020-08-03,30039,0.0,20 days,0.0
2020-08-04,30039,0.0,20 days,0.0
2020-08-05,30039,0.0,20 days,0.0
2020-08-06,30039,0.0,20 days,0.0
2020-08-07,30039,0.0,20 days,0.0
2020-08-08,30039,0.0,20 days,0.0
2020-08-09,30039,0.0,20 days,0.0
2020-08-10,30039,0.0,20 days,0.0
2020-08-11,30039,0.0,20 days,0.0
2020-08-12,30039,0.0,20 days,0.0
2020-08-13,30039,0.0,20 days,0.0
2020-08-14,30039,0.0,20 days,0.0
2020-08-15,30039,0.0,20 days,0.0
2020-08-16,30039,0.0,20 days,0.0
2020-08-17,30039,0.0,20 days,0.0
2020-08-18,30039,0.0,20 days,0.0
2020-08-19,30039,0.0,20 days,0.0
2020-08-20,30039,0.0,20 days,0.0
2020-08-21,30039,0.0,20 days,0.0
2020-08-22,30039,0.0,20 days,0.0
2020-08-23,30039,0.0,20 days,0.0
2020-08-24,30039,0.0,20 days,0.0
2020-08-25,30039,0.0,20 days,0.0
2020-08-26,30039,0.0,20 days,0.0
2020-08-27,30039,0.0,20 days,0.0
2020-08-28,30039,0.0,20 days,0.0
2020-08-29,30039,0.0,20 days,0.0
2020-08-30,30039,0.0,20 days,0.0
2020-08-31,30039,0.0,20 days,0.0
2020-09-01,30039,0.0,20 days,0.0
2020-09-02,30039,0.0,20 days,0.0
2020-09-03,30039,0.0,20 days,0.0
2020-09-04,30039,0.0,20 days,0.0
2020-09-05,30039,0.0,20 days,0.0
2020-09-06,30039,0.0,20 days,0.0
2020-09-07,30039,0.0,20 days,0.0
2020-09-08,30039,0.0,20 days,0.0
2020-09-09,30039,0.0,20 days,0.0
2020-09-10,30039,0.0,20 days,0.0
2020-09-11,30039,0.0,20 days,0.0
2020-09-12,30039,0.0,20 days,0.0
2020-09-13,30039,0.0,20 days,0.0
2020-09-14,30039,0.0,20 days,0.0
2020-09-15,30039,0.0,20 days,0.0
2020-09-16,30039,0.0,20 days,0.0
2020-09-17,30039,0.0,20 days,0.0
2020-09-18,30039,0.0,20 days,0.0
2020-09-19,30039,0.0,20 days,0.0
2020-09-20,30039,0.0,20 days,0.0
2020-09-21,30039,0.0,20 days,0.0
2020-02-10,30041,0.0,20 days,0.0
2020-02-11,30041,0.0,20 days,0.0
2020-02-12,30041,0.0,20 days,0.0
2020-02-13,30041,0.0,20 days,0.0
2020-02-14,30041,0.0,20 days,0.0
2020-02-15,30041,0.0,20 days,0.0
2020-02-16,30041,0.0,20 days,0.0
2020-02-17,30041,0.0,20 days,0.0
2020-02-18,30041,0.0,20 days,0.0
2020-02-19,30041,0.0,20 days,0.0
2020-02-20,30041,0.0,20 days,0.0
2020-02-21,30041,0.0,20 days,0.0
2020-02-22,30041,0.0,20 days,0.0
2020-02-23,30041,0.0,20 days,0.0
2020-02-24,30041,0.0,20 days,0.0
2020-02-25,30041,0.0,20 days,0.0
2020-02-26,30041,0.0,20 days,0.0
2020-02-27,30041,0.0,20 days,0.0
2020-02-28,30041,0.0,20 days,0.0
2020-02-29,30041,0.0,20 days,0.0
2020-03-01,30041,0.0,20 days,0.0
2020-03-02,30041,0.0,20 days,0.0
2020-03-03,30041,0.0,20 days,0.0
2020-03-04,30041,0.0,20 days,0.0
2020-03-05,30041,0.0,20 days,0.0
2020-03-06,30041,0.0,20 days,0.0
2020-03-07,30041,0.0,20 days,0.0
2020-03-08,30041,0.0,20 days,0.0
2020-03-09,30041,0.0,20 days,0.0
2020-03-10,30041,0.0,20 days,0.0
2020-03-11,30041,0.0,20 days,0.0
2020-03-12,30041,0.0,20 days,0.0
2020-03-13,30041,0.0,20 days,0.0
2020-03-14,30041,0.0,20 days,0.0
2020-03-15,30041,0.0,20 days,0.0
2020-03-16,30041,0.0,20 days,0.0
2020-03-17,30041,0.0,20 days,0.0
2020-03-18,30041,0.0,20 days,0.0
2020-03-19,30041,0.0,20 days,0.0
2020-03-20,30041,0.0,20 days,0.0
2020-03-21,30041,0.0,20 days,0.0
2020-03-22,30041,0.0,20 days,0.0
2020-03-23,30041,0.0,20 days,0.0
2020-03-24,30041,0.0,20 days,0.0
2020-03-25,30041,0.0,20 days,0.0
2020-03-26,30041,0.0,20 days,0.0
2020-03-27,30041,0.0,20 days,0.0
2020-03-28,30041,0.0,20 days,0.0
2020-03-29,30041,0.0,20 days,0.0
2020-03-30,30041,0.0,20 days,0.0
2020-03-31,30041,0.0,20 days,0.0
2020-04-01,30041,0.0,20 days,0.0
2020-04-02,30041,0.0,20 days,0.0
2020-04-03,30041,0.0,20 days,0.0
2020-04-04,30041,0.0,20 days,0.0
2020-04-05,30041,0.0,20 days,0.0
2020-04-06,30041,0.0,20 days,0.0
2020-04-07,30041,0.0,20 days,0.0
2020-04-08,30041,0.0,20 days,0.0
2020-04-09,30041,0.0,20 days,0.0
2020-04-10,30041,0.0,20 days,0.0
2020-04-11,30041,0.0,20 days,0.0
2020-04-12,30041,0.0,20 days,0.0
2020-04-13,30041,0.0,20 days,0.0
2020-04-14,30041,0.0,20 days,0.0
2020-04-15,30041,0.0,20 days,0.0
2020-04-16,30041,0.0,20 days,0.0
2020-04-17,30041,0.0,20 days,0.0
2020-04-18,30041,0.0,20 days,0.0
2020-04-19,30041,0.0,20 days,0.0
2020-04-20,30041,0.0,20 days,0.0
2020-04-21,30041,0.0,20 days,0.0
2020-04-22,30041,0.0,20 days,0.0
2020-04-23,30041,0.0,20 days,0.0
2020-04-24,30041,0.0,20 days,0.0
2020-04-25,30041,0.0,20 days,0.0
2020-04-26,30041,0.0,20 days,0.0
2020-04-27,30041,0.0,20 days,0.0
2020-04-28,30041,0.0,20 days,0.0
2020-04-29,30041,0.0,20 days,0.0
2020-04-30,30041,0.0,20 days,0.0
2020-05-01,30041,0.0,20 days,0.0
2020-05-02,30041,0.0,20 days,0.0
2020-05-03,30041,0.0,20 days,0.0
2020-05-04,30041,0.0,20 days,0.0
2020-05-05,30041,0.0,20 days,0.0
2020-05-06,30041,0.0,20 days,0.0
2020-05-07,30041,0.0,20 days,0.0
2020-05-08,30041,0.0,20 days,0.0
2020-05-09,30041,0.0,20 days,0.0
2020-05-10,30041,0.0,20 days,0.0
2020-05-11,30041,0.0,20 days,0.0
2020-05-12,30041,0.0,20 days,0.0
2020-05-13,30041,0.0,20 days,0.0
2020-05-14,30041,0.0,20 days,0.0
2020-05-15,30041,0.0,20 days,0.0
2020-05-16,30041,0.0,20 days,0.0
2020-05-17,30041,0.0,20 days,0.0
2020-05-18,30041,0.0,20 days,0.0
2020-05-19,30041,0.0,20 days,0.0
2020-05-20,30041,0.0,20 days,0.0
2020-05-21,30041,0.0,20 days,0.0
2020-05-22,30041,0.0,20 days,0.0
2020-05-23,30041,0.0,20 days,0.0
2020-05-24,30041,0.0,20 days,0.0
2020-05-25,30041,0.0,20 days,0.0
2020-05-26,30041,0.0,20 days,0.0
2020-05-27,30041,0.0,20 days,0.0
